Symptôme_Déclencheur,Signes_Vitaux,Red_Flag,Système,Gravité,ESI,Examens_Recommandés
douleur thoracique,ECG ST+,Infarctus ST+ (Cardio),Cardiologie,5,1,"ECG, Troponines, Coronarographie"
dyspnée,Hémithorax mat,Pneumothorax compressif,Traumatologie,5,1,"Radio thorax, Drain thoracique"
céphalée brutale,BP 220/110,Hémorragie méningée,Neurologie,5,1,"Scanner cérébral"
confusion,fièvre,Encéphalite infectieuse,Neurologie,4,2,"PL, Scanner, CRP"
vomissements,Hb 6g,Anémie aiguë,Hématologie,4,2,"NFS, bilan hémostase, Transfusion"
agitation,ECG ST+,Infarctus compliqué (Cardio/Neuro),Cardiologie,5,1,"ECG, Scanner cérébral, biologie"
trouble de la marche,saturation 85%,Embolie pulmonaire,Respiratoire,4,2,"Angio-TDM thoracique"
brûlure étendue,tachycardie,Brûlure grave,Dermatologie,4,2,"Liquides IV, bilan électrolytique"
fièvre prolongée,splénomégalie,Syndrome infectieux systémique,Infectiologie,3,3,"NFS, hémocultures"
otalgie,fièvre élevée,Abcès péri-amygdalien,ORL,3,4,"Examen ORL, ponction"
vertiges,BP 90/60,Insuffisance vestibulaire aiguë,ORL,2,4,"Manœuvres vestibulaires"
œil rouge,diminution acuité visuelle,Glaucome aigu,Ophtalmologie,4,2,"Tonométrie, fond d'œil"
hématurie,Hb 8g,Hémorragie urinaire,Urologie,3,3,"Echo, bilan coagulation"
anurie,créat > 800 μmol/L,IRA obstructive,Néphrologie,5,2,"Echo rénale, bilan biologique"
cervicalgie,fièvre,Discite cervicale,Traumatologie,3,3,"IRM rachis cervical"
angine,membranes grisâtres,Diphtérie,Infectiologie,4,2,"PCR diphtérie, hospitalisation"
fièvre,énanthème,Mononucléose infectieuse,Infectiologie,3,3,"Sérologie EBV, NFS"
ecchymoses,hémorragies muqueuses,Thrombopénie sévère,Hématologie,4,2,"NFS, frottis sanguin"
traumatisme facial,diplopie,Fracture orbitaire,Traumatologie,3,2,"Scanner facial"
dyspnée,tachypnée,OAP cardiogénique,Cardiologie,4,2,"Echo cardiaque, gaz du sang"
polyurie,Natremie 120 mmol/L,Hyponatrémie sévère,Endocrinologie,4,3,"Ionogramme, bilan hormonal"
fièvre,Vesicules cutanées,Varicelle disséminée,Dermatologie,3,3,"Examen cutané, sérologie"
céphalée,Déficit moteur,Hémorragie cérébrale,Neurologie,5,1,"Scanner cérébral en urgence"
troubles du langage,Saturation 90%,AVC ischémique sévère,Neurologie,5,1,"Scanner, IRM, bilan coagulation"
vertiges,BP élevé,Syndrome de l’oreille interne,ORL,3,3,"Audiogramme, examen ORL"
paralysie faciale,BP normal,Paralysie faciale périphérique,Neurologie,3,3,"IRM, sérologie virale"
douleur abdominale,PAS < 80 mmHg,Choc abdominal (Trauma),Traumatologie,5,1,"Echo FAST, bilan biologique"
fièvre,Tâches blanchâtres,Scarlatine,Infectiologie,3,4,"Test de Streptocoque, NFS"
dyspnée,Sibilances,Bronchospasme aigu,Respiratoire,3,3,"Nébulisation, gaz du sang"
douleur pelvienne,fièvre,PID (Infectio/Gynéco),Gynécologie,4,2,"Echo pelvienne, CRP, PCR IST"
retard de règles,douleur unilatérale,Grossesse extra-utérine,Gynécologie,5,1,"BhCG, écho pelvienne"
douleur testiculaire,signe de Prehn négatif,Torsion testiculaire,Urologie,5,1,"Echo Doppler testiculaire"
confusion,Pas de fièvre,Encéphalopathie métabolique,Neurologie,4,2,"Ionogramme, ammoniémie"
vision floue,pupille semi-dilatée,Glaucome aigu angle fermé,Ophtalmologie,5,2,"Urgence ophtalmo, tonométrie"
œil douloureux,hyperhémie conjonctivale,Kératite infectieuse,Ophtalmologie,4,2,"Examen lampe à fente"
trouble du comportement,aucune cause apparente,Bouffée délirante aiguë,Psychiatrie,4,2,"Évaluation psychiatrique, toxico, scanner"
vomissements répétés,déshydratation sévère,Gastroentérite aiguë,Gastroentérologie,3,3,"Réhydratation, ionogramme"
trauma crânien,perte de connaissance,Commotion cérébrale,Traumatologie,4,2,"Scanner cérébral"
faiblesse généralisée,Hypokaliémie 2.3 mmol/L,Hypokaliémie sévère,Endocrinologie,4,3,"Ionogramme, ECG"
fièvre,Boutons palmoplantaire,Syndrome pied-main-bouche,Pédiatrie,2,4,"Examen clinique"
dyspnée,Fièvre élevée,Pneumonie communautaire,Infectiologie,3,3,"Rx thorax, CRP, antibiotiques"
inconscience,Hypoglycémie < 0.6 g/L,Coma hypoglycémique,Endocrinologie,5,1,"Glycémie capillaire, G5%"
céphalée chronique normale,BP normal,Céphalée tensionnelle,Neurologie,1,5,"Traitement antalgique simple"
